사고장소,사고 발생 횟수
서울특별시 강서구 화곡동 등촌로13바길,1
서울특별시 강서구 화곡동 우현로,1
서울특별시 강서구 화곡동 월정로,1
서울특별시 강서구 화곡동 초록마을로,1
서울특별시 강서구 화곡동 화곡로,12
서울특별시 강서구 화곡동 화곡로15길,1
서울특별시 강서구 화곡동 화곡로58길,2
서울특별시 관악구 남현동 남부순환로,3
서울특별시 관악구 봉천동 관악로,7
서울특별시 관악구 봉천동 관악로11길,1
서울특별시 관악구 봉천동 관악로28길,1
서울특별시 관악구 봉천동 관악로40길,1
서울특별시 관악구 봉천동 관악로5길,1
서울특별시 관악구 봉천동 국회단지길,1
서울특별시 관악구 봉천동 낙성대로3길,1
서울특별시 관악구 봉천동 남부순환로,15
서울특별시 관악구 봉천동 보라매로,6
서울특별시 관악구 봉천동 봉천로,12
서울특별시 관악구 봉천동 성현로,1
서울특별시 관악구 봉천동 쑥고개로,5
서울특별시 관악구 봉천동 양녕로,2
서울특별시 관악구 봉천동 은천로,3
서울특별시 관악구 봉천동 청룡길,1
서울특별시 관악구 신림동 광신길,1
서울특별시 관악구 신림동 난곡로,15
서울특별시 관악구 신림동 난우길,7
서울특별시 관악구 신림동 남부순환로,13
서울특별시 관악구 신림동 남부순환로187길,1
서울특별시 관악구 신림동 대학길,1
서울특별시 관악구 신림동 문성로,1
서울특별시 관악구 신림동 법원단지길,2
서울특별시 관악구 신림동 복은길,2
서울특별시 관악구 신림동 봉천로,4
서울특별시 관악구 신림동 시흥대로,3
서울특별시 관악구 신림동 신림로,11
서울특별시 관악구 신림동 신사로,3
서울특별시 관악구 신림동 신원로,4
서울특별시 관악구 신림동 원신길,2
서울특별시 관악구 신림동 조원로,5
서울특별시 관악구 신림동 조원로18길,1
서울특별시 관악구 신림동 호암로,2
서울특별시 구로구 가리봉동 구로동로,2
서울특별시 구로구 가리봉동 남부순환로,4
서울특별시 구로구 가리봉동 남부순환로105길,5
서울특별시 구로구 가리봉동 디지털로,1
서울특별시 구로구 개봉동 개봉로,3
서울특별시 구로구 개봉동 개봉로17길,1
서울특별시 구로구 개봉동 개봉로17라길,1
서울특별시 구로구 개봉동 개봉로19길,2
서울특별시 구로구 개봉동 개봉로20길,2
서울특별시 구로구 개봉동 개봉로23가길,1
서울특별시 구로구 개봉동 경인로,2
서울특별시 구로구 개봉동 경인로33길,2
서울특별시 구로구 개봉동 경인로40길,1
서울특별시 구로구 개봉동 고척로,1
서울특별시 구로구 개봉동 고척로21나길,1
서울특별시 구로구 개봉동 고척로22길,1
서울특별시 구로구 개봉동 고척로23길,1
서울특별시 구로구 개봉동 고척로25길,1
서울특별시 구로구 개봉동 남부순환로,3
서울특별시 구로구 개봉동 서해안로34길,1
서울특별시 구로구 고척동 경서로,1
서울특별시 구로구 고척동 경인로,2
서울특별시 구로구 고척동 경인로43길,2
서울특별시 구로구 고척동 경인로47길,2
서울특별시 구로구 고척동 고척로,1
서울특별시 구로구 고척동 중앙로,2
서울특별시 구로구 고척동 중앙로14길,1
서울특별시 구로구 고척동 중앙로15길,2
서울특별시 구로구 고척동 중앙로3길,1
서울특별시 구로구 고척동 중앙로8길,1
서울특별시 구로구 구로동 가마산로,6
서울특별시 구로구 구로동 경인로,4
서울특별시 구로구 구로동 경인로51길,1
서울특별시 구로구 구로동 경인로53길,1
서울특별시 구로구 구로동 공원로8길,2
서울특별시 구로구 구로동 구로동로,2
서울특별시 구로구 구로동 구로동로25길,2
서울특별시 구로구 구로동 구로동로28길,1
서울특별시 구로구 구로동 구로동로35길,2
서울특별시 구로구 구로동 구로중앙로,7
서울특별시 구로구 구로동 구로중앙로28길,1
서울특별시 구로구 구로동 구로중앙로31길,1
서울특별시 구로구 구로동 구로중앙로34길,1
서울특별시 구로구 구로동 구일로,2
서울특별시 구로구 구로동 구일로4길,1
서울특별시 구로구 구로동 남부순환로,2
서울특별시 구로구 구로동 도림로,10
서울특별시 구로구 구로동 도림천로,7
서울특별시 구로구 구로동 디지털로,2
서울특별시 구로구 구로동 디지털로26길,1
서울특별시 구로구 구로동 디지털로31길,1
서울특별시 구로구 구로동 디지털로32길,2
서울특별시 구로구 구로동 새말로,2
서울특별시 구로구 구로동 새말로12길,1
서울특별시 구로구 구로동 새말로20길,1
서울특별시 구로구 구로동 시흥대로,4
서울특별시 구로구 구로동 시흥대로161길,1
서울특별시 구로구 궁동 부일로,2
서울특별시 구로구 궁동 부일로15길,1
서울특별시 구로구 궁동 부일로19길,1
서울특별시 구로구 궁동 오리로,2
서울특별시 구로구 궁동 오리로22가길,1
서울특별시 구로구 신도림동 경인로,2
서울특별시 구로구 신도림동 경인로59길,1
서울특별시 구로구 신도림동 경인로67길,4
서울특별시 구로구 신도림동 공원로,1
서울특별시 구로구 신도림동 구로중앙로42길,2
서울특별시 구로구 신도림동 신도림로,1
서울특별시 구로구 오류동 경인로,7
서울특별시 구로구 오류동 고척로,1
서울특별시 구로구 오류동 서해안로,2
서울특별시 구로구 오류동 오류로,1
서울특별시 구로구 오류동 오리로,3
서울특별시 구로구 온수동 부일로9길,1
서울특별시 구로구 천왕동 금오로,1
서울특별시 구로구 천왕동 오리로,1
서울특별시 구로구 항동 서해안로,4
서울특별시 금천구 가산동 가산로9길,1
서울특별시 금천구 가산동 남부순환로,2
서울특별시 금천구 가산동 디지털로,6
서울특별시 금천구 가산동 디지털로10길,1
서울특별시 금천구 가산동 범안로,1
서울특별시 금천구 가산동 벚꽃로36길,1
서울특별시 금천구 가산동 서부샛길,1
서울특별시 금천구 가산동 시흥대로153길,1
서울특별시 금천구 독산동 가산로,6
서울특별시 금천구 독산동 가산로5길,1
서울특별시 금천구 독산동 남부순환로,1
서울특별시 금천구 독산동 독산로,6
서울특별시 금천구 독산동 범안로,6
서울특별시 금천구 독산동 범안로16길,1
서울특별시 금천구 독산동 범안로17길,2
서울특별시 금천구 독산동 벚꽃로,1
서울특별시 금천구 독산동 서부샛길,1
서울특별시 금천구 독산동 시흥대로,5
서울특별시 금천구 독산동 시흥대로153길,1
서울특별시 금천구 독산동 안양천로,1
서울특별시 금천구 시흥동 강남순환로,3
서울특별시 금천구 시흥동 금하로,10
서울특별시 금천구 시흥동 독산로,9
서울특별시 금천구 시흥동 독산로50길,1
서울특별시 금천구 시흥동 범안로,1
서울특별시 금천구 시흥동 서해안고속도로,1
서울특별시 금천구 시흥동 시흥대로,5
서울특별시 금천구 시흥동 시흥대로73길,2
서울특별시 금천구 시흥동 은행나무로,2
서울특별시 금천구 시흥동 탑골로,1
서울특별시 금천구 시흥동 호암로,1
서울특별시 노원구 공릉동 공릉로,3
서울특별시 노원구 공릉동 공릉로46길,2
서울특별시 노원구 공릉동 노원로,1
서울특별시 노원구 공릉동 동일로,7
서울특별시 노원구 공릉동 동일로173길,1
서울특별시 노원구 공릉동 동일로174길,2
서울특별시 노원구 공릉동 동일로182길,1
서울특별시 노원구 공릉동 동일로191길,1
서울특별시 노원구 공릉동 동일로192길,2
서울특별시 노원구 공릉동 동일로197길,1
서울특별시 노원구 공릉동 섬밭로,2
서울특별시 노원구 공릉동 화랑로,13
서울특별시 노원구 공릉동 화랑로51길,1
서울특별시 노원구 상계동 노원로,2
서울특별시 노원구 상계동 노원로26가길,1
서울특별시 노원구 상계동 노원로38길,1
서울특별시 노원구 상계동 노해로,4
서울특별시 노원구 상계동 노해로77길,1
서울특별시 노원구 상계동 덕릉로,10
서울특별시 노원구 상계동 덕릉로115다길,1
서울특별시 노원구 상계동 동부간선로,5
서울특별시 노원구 상계동 동일로,15
서울특별시 노원구 상계동 동일로228길,2
서울특별시 노원구 상계동 동일로243길,2
서울특별시 노원구 상계동 동일로245가길,2
서울특별시 노원구 상계동 방학로,1
서울특별시 노원구 상계동 상계로,5
서울특별시 노원구 상계동 수락산로,2
서울특별시 노원구 상계동 한글비석로,7
서울특별시 노원구 상계동 한글비석로46길,1
서울특별시 노원구 월계동 광운로,6
서울특별시 노원구 월계동 덕릉로60길,1
서울특별시 노원구 월계동 마들로,5
서울특별시 노원구 월계동 석계로,2
서울특별시 노원구 월계동 석계로1길,1
서울특별시 노원구 월계동 우이천로,2
서울특별시 노원구 월계동 월계로,4
서울특별시 노원구 월계동 월계로45가길,2
서울특별시 노원구 월계동 월계로53길,1
서울특별시 노원구 월계동 초안산로,4
서울특별시 노원구 월계동 초안산로1길,2
서울특별시 노원구 월계동 화랑로,4
서울특별시 노원구 중계동 공릉로,2
서울특별시 노원구 중계동 노원로,1
서울특별시 노원구 중계동 노원로19길,1
서울특별시 노원구 중계동 노원로24길,2
서울특별시 노원구 중계동 덕릉로,5
서울특별시 노원구 중계동 덕릉로70길,1
서울특별시 노원구 중계동 덕릉로73길,1
서울특별시 노원구 중계동 덕릉로82길,1
서울특별시 노원구 중계동 동일로,3
서울특별시 노원구 중계동 동일로203가길,1
서울특별시 노원구 중계동 동일로203길,1
