,사고번호,사고일시,요일,시군구,도로명,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
1,2019020000000000.0,2019년 2월 13일 09시,수요일,서울특별시 성동구 성수동1가,왕십리로,중상사고,0,1,0,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,여,46세,상해없음,보행자,여,89세,중상
2,2019070000000000.0,2019년 7월 2일 16시,화요일,서울특별시 성동구 마장동,고산자로,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,54세,상해없음,보행자,남,88세,경상
3,2019040000000000.0,2019년 4월 5일 06시,금요일,서울특별시 성동구 성수동1가,왕십리로,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,86세,경상
4,2019040000000000.0,2019년 4월 1일 12시,월요일,서울특별시 성동구 하왕십리동,무학로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,67세,상해없음,보행자,여,85세,중상
5,2019120000000000.0,2019년 12월 23일 11시,월요일,서울특별시 성동구 응봉동,독서당로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,보행자,여,85세,중상
6,2019120000000000.0,2019년 12월 17일 11시,화요일,서울특별시 성동구 성수동2가,성수이로7길,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,58세,상해없음,보행자,여,85세,중상
7,2019120000000000.0,2019년 12월 3일 18시,화요일,서울특별시 성동구 응봉동,독서당로,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,61세,상해없음,보행자,여,84세,중상
8,2019100000000000.0,2019년 10월 21일 08시,월요일,서울특별시 성동구 홍익동,무학로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,여,82세,경상
9,2019050000000000.0,2019년 5월 1일 16시,수요일,서울특별시 성동구 상왕십리동,마장로19길,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,46세,상해없음,보행자,여,81세,중상
10,2019090000000000.0,2019년 9월 27일 12시,금요일,서울특별시 성동구 하왕십리동,마장로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,여,81세,중상
11,2019090000000000.0,2019년 9월 30일 10시,월요일,서울특별시 성동구 성수동2가,성수이로,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,56세,상해없음,보행자,여,81세,중상
12,2019080000000000.0,2019년 8월 2일 10시,금요일,서울특별시 성동구 행당동,왕십리광장로,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음/습기,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,80세,중상
13,2019050000000000.0,2019년 5월 1일 13시,수요일,서울특별시 성동구 마장동,살곶이길,사망사고,1,0,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,61세,상해없음,보행자,남,79세,사망
14,2019010000000000.0,2019년 1월 17일 22시,목요일,서울특별시 성동구 금호동4가,장터길,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,보행자,남,79세,부상신고
15,2019110000000000.0,2019년 11월 4일 14시,월요일,서울특별시 성동구 옥수동,동호로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,보행자,여,79세,중상
16,2019040000000000.0,2019년 4월 28일 12시,일요일,서울특별시 성동구 옥수동,뚝섬로,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,여,79세,경상
17,2019060000000000.0,2019년 6월 10일 20시,월요일,서울특별시 성동구 도선동,고산자로,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,43세,상해없음,화물,남,78세,경상
18,2019110000000000.0,2019년 11월 3일 09시,일요일,서울특별시 성동구 도선동,무학로6길,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,원동기,남,78세,경상
19,2019040000000000.0,2019년 4월 17일 05시,수요일,서울특별시 성동구 행당동,고산자로4길,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,67세,경상,승용,여,78세,상해없음
20,2019110000000000.0,2019년 11월 22일 09시,금요일,서울특별시 성동구 금호동1가,행당로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,49세,상해없음,보행자,여,78세,경상
21,2019010000000000.0,2019년 1월 8일 09시,화요일,서울특별시 성동구 성수동1가,고산자로,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,건설기계,남,67세,상해없음,보행자,남,78세,중상
22,2019110000000000.0,2019년 11월 8일 15시,금요일,서울특별시 성동구 금호동2가,금호로,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,38세,상해없음,이륜,남,77세,중상
23,2019050000000000.0,2019년 5월 16일 08시,목요일,서울특별시 성동구 옥수동,독서당로,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,13세,상해없음,보행자,남,77세,중상
24,2019060000000000.0,2019년 6월 26일 14시,수요일,서울특별시 성동구 성수동1가,뚝섬로1길,중상사고,0,1,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,41세,상해없음,보행자,남,77세,중상
25,2019120000000000.0,2019년 12월 19일 15시,목요일,서울특별시 성동구 성수동2가,성수이로,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,자전거,남,77세,중상
26,2019030000000000.0,2019년 3월 14일 05시,목요일,서울특별시 성동구 마장동,마장로,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,71세,상해없음,보행자,여,76세,중상
27,2019030000000000.0,2019년 3월 14일 15시,목요일,서울특별시 성동구 금호동4가,금호로,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승합,남,64세,상해없음,승합,남,76세,상해없음
28,2019040000000000.0,2019년 4월 28일 16시,일요일,서울특별시 성동구 성수동1가,강변북로,중상사고,0,1,5,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,승용,남,27세,상해없음,승용,여,76세,경상
29,2019040000000000.0,2019년 4월 15일 09시,월요일,서울특별시 성동구 성수동2가,성수일로8길,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,여,76세,경상
30,2019030000000000.0,2019년 3월 6일 02시,수요일,서울특별시 성동구 행당동,마조로,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,75세,경상
31,2019050000000000.0,2019년 5월 16일 13시,목요일,서울특별시 성동구 성수동1가,동부간선로,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,78세,상해없음,승용,남,75세,경상
32,2019030000000000.0,2019년 3월 28일 09시,목요일,서울특별시 성동구 성수동1가,왕십리로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,기타불명,보행자,여,75세,경상
33,2019030000000000.0,2019년 3월 29일 10시,금요일,서울특별시 성동구 성수동1가,고산자로,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,남,55세,상해없음,승용,여,75세,경상
34,2019060000000000.0,2019년 6월 13일 11시,목요일,서울특별시 성동구 용답동,천호대로,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,47세,상해없음,보행자,여,75세,경상
35,2019060000000000.0,2019년 6월 28일 10시,금요일,서울특별시 성동구 하왕십리동,무학봉길,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,보행자,여,74세,중상
36,2019080000000000.0,2019년 8월 7일 09시,수요일,서울특별시 성동구 도선동,왕십리로24길,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,74세,경상
